cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
11,C(CCl)Cl,98.96,0.0,6.0,4,0,0,1,-35.52
13,C1=CC(=C(C=C1Cl)Cl)Cl,181.4,0.0,94.3,9,0,0,0,16.97
19,C1=CC(=C(C(=C1)O)O)C(=O)O,154.12,77.8,157.0,11,3,4,1,204.0
33,C(C=O)Cl,78.5,17.1,20.0,4,0,1,1,-16.3
34,C(CCl)O,80.51,20.2,10.0,4,1,1,1,-67.33
45,C(C(=O)O)(C(=O)O)O,120.06,94.8,103.0,8,3,5,2,157.0
49,CC(C)C(=O)C(=O)O,116.11,54.4,115.0,8,1,3,2,31.5
51,C(CC(=O)O)C(=O)C(=O)O,146.1,91.7,171.0,10,2,5,4,115.5
58,CCC(=O)C(=O)O,102.09,54.4,95.1,7,1,3,2,33.0
66,C1=CC(=C(C=C1Cl)O)Cl,163.0,20.2,97.1,9,1,1,0,59.0
71,C(CC(=O)C(=O)O)CC(=O)O,160.12,91.7,183.0,11,2,5,5,127.0
72,C1=CC(=C(C=C1C(=O)O)O)O,154.12,77.8,157.0,11,3,4,1,221.0
79,C1=CC(=CN=C1)C#N,104.11,36.7,111.0,8,0,2,0,51.0
86,C1=CC(=C(C(=C1)O)N)C(=O)O,153.14,83.6,160.0,11,3,4,1,164.0
89,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,224.21,127.0,282.0,16,4,6,4,217.0
102,C1=CC(=CC(=C1)O)CO,124.14,40.5,83.0,9,2,2,1,73.0
107,C1=CC=C(C=C1)CCC(=O)O,150.17,37.3,126.0,11,1,2,3,107.0
108,C1=CC(=CN=C1)CC(=O)O,137.14,50.2,125.0,10,1,3,2,144.0
111,C(CNC(=O)N)C(=O)O,132.12,92.4,123.0,9,3,3,3,170.0
119,C(CC(=O)O)CN,103.12,63.3,62.7,7,2,3,3,203.0
125,C1=CC(=CC=C1CO)O,124.14,40.5,75.0,9,2,2,1,124.5
126,C1=CC(=CC=C1C=O)O,122.12,37.3,93.1,9,1,2,1,117.0
127,C1=CC(=CC=C1CC(=O)O)O,152.15,57.5,136.0,11,2,3,2,152.0
135,C1=CC(=CC=C1C(=O)O)O,138.12,57.5,125.0,10,2,3,1,214.5
138,C(CCN)CC(=O)O,117.15,63.3,72.8,8,2,3,4,157.5
140,CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO,436.7,80.9,624.0,31,4,4,6,232.0
174,C(CO)O,62.07,40.5,6.0,4,2,2,1,-12.9
176,CC(=O)O,60.05,37.3,31.0,4,1,2,0,16.63
177,CC=O,44.05,17.1,10.3,3,0,1,0,-123.1
179,CC(C(=O)C)O,88.11,37.3,58.6,6,1,2,1,15.0
187,CC(=O)OCC[N+](C)(C)C,146.21,26.3,115.0,10,0,2,4,148.0
190,C1=NC2=NC=NC(=C2N1)N,135.13,80.5,127.0,10,2,4,0,360.0
222,N,17.031,1.0,0.0,1,1,1,0,-77.8
239,C(CN)C(=O)O,89.09,63.3,52.8,6,2,3,2,200.0
241,C1=CC=CC=C1,78.11,0.0,15.5,6,0,0,0,5.64
243,C1=CC=C(C=C1)C(=O)O,122.12,37.3,104.0,9,1,2,1,122.29
244,C1=CC=C(C=C1)CO,108.14,20.2,55.4,8,1,1,1,-15.15
259,[Br-],79.9,0.0,0.0,1,0,1,0,-7.25
260,Br,80.91,0.0,0.0,1,1,0,0,-86.9
275,C(CON=C(N)N)C(C(=O)O)N,176.17,137.0,178.0,12,4,5,5,184.0
280,C(=O)=O,44.00899999999999,34.1,18.3,3,0,2,0,-56.5
284,C(=O)O,46.025,37.3,10.3,3,1,2,0,8.25
289,C1=CC=C(C(=C1)O)O,110.11,40.5,62.9,8,2,2,0,105.0
297,C,16.043,0.0,0.0,1,0,0,0,-182.59
307,C1=CC=C(C=C1)C=CC=O,132.16,17.1,121.0,10,0,1,2,-7.5
308,C1=CC=C(C=C1)C=CCO,134.17,20.2,101.0,10,1,1,2,33.0
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.12,132.0,227.0,13,4,7,5,153.0
312,[Cl-],35.45,0.0,0.0,1,0,1,0,-101.0
313,Cl,36.46,0.0,0.0,1,1,0,0,-114.21
323,C1=CC=C2C(=C1)C=CC(=O)O2,146.14,26.3,196.0,11,0,2,0,71.0
325,CC(C)C1=CC=C(C=C1)CO,150.22,20.2,101.0,11,1,1,2,28.0
340,CC1=C(C(=CC=C1)O)O,124.14,40.5,92.9,9,2,2,0,68.0
342,CC1=CC(=CC=C1)O,108.14,20.2,70.8,8,1,1,0,11.93
356,CCCCCCCC,114.23,0.0,25.0,8,0,0,5,-56.78
359,C1=C(C=C(C=C1O)O)O,126.11,60.7,63.3,9,3,3,0,218.5
379,CCCCCCCC(=O)O,144.21,37.3,89.3,10,1,2,6,16.43
385,C(CCC(=O)O)CCC(=O)O,160.17,74.6,125.0,11,2,4,6,106.0
403,C1=CC(=CC=C1N)O,109.13,46.2,66.9,8,2,2,0,187.5
408,CN1C(CCC1=O)C2=CN=CC=C2,176.21,33.2,205.0,13,0,2,1,41.0
409,C[N+]1(CCCC1C2=CN=CC=C2)[O-],178.23,31.0,186.0,13,0,2,1,-79.0
428,C(CN)CN,74.13,52.0,12.4,5,2,2,2,-12.0
447,C1=CC(=CC(=C1)Cl)C(=O)O,156.56,37.3,136.0,10,1,2,1,158.0
454,CCCCCCCC=O,128.21,17.1,59.6,9,0,1,6,-23.0
464,C1=CC=C(C=C1)C(=O)NCC(=O)O,179.17,66.4,197.0,13,2,3,3,191.5
487,CC(C(=O)O)C(=O)O,118.09,74.6,103.0,8,2,4,2,135.0
525,C(C(C(=O)O)O)C(=O)O,134.09,94.8,129.0,9,3,5,3,131.0
527,CCC=O,58.08,17.1,17.2,4,0,1,1,-80.25
528,CC(=O)OCCC(C(=O)O)N,161.16,89.6,157.0,11,2,5,5,200.0
540,C(#N)O,43.025,44.0,31.3,3,1,2,0,-86.0
541,C1=CC(=CC=C1C=O)[N+](=O)[O-],151.12,62.9,156.0,11,0,3,1,107.0
564,C(CCC(=O)O)CCN,131.17,63.3,83.1,9,2,3,5,205.0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,168.19,13.1,170.0,13,0,1,0,86.5
586,CN(CC(=O)O)C(=N)N,131.13,90.4,134.0,9,3,3,3,303.0
614,C1CC(NC1)C(=O)O,115.13,49.3,103.0,8,2,3,1,205.0
660,C1CC(=O)OC2=CC=CC=C21,148.16,26.3,165.0,11,0,2,0,25.0
670,C(C(=O)CO)O,90.08,57.5,44.0,6,2,3,2,90.0
673,CN(C)CC(=O)O,103.12,40.5,70.1,7,1,3,2,185.5
674,CNC,45.08,12.0,2.8,3,1,1,0,-92.4
675,CC1=CC2=C(C=C1C)N=CN2,146.19,28.7,147.0,11,1,1,0,205.5
681,C1=CC(=C(C=C1CCN)O)O,153.18,66.5,119.0,11,3,3,2,128.0
700,C(CO)N,61.08,46.2,10.0,4,2,2,1,10.35
702,CCO,46.07,20.2,2.8,3,1,1,0,-114.08
712,C=O,30.026,17.1,2.0,2,0,1,0,-92.0
713,C(=O)N,45.041000000000004,43.1,12.3,3,1,1,0,2.54
750,C(C(=O)O)N,75.07,63.3,42.9,5,2,3,1,262.2
751,C(C(C=O)O)O,90.08,57.5,43.3,6,2,3,2,145.0
756,C(C=O)O,60.05,37.3,18.0,4,1,2,1,97.0
757,C(C(=O)O)O,76.05,57.5,40.2,5,2,3,1,79.75
768,C#N,27.025,23.8,10.0,2,0,1,0,-13.23
774,C1=C(NC=N1)CCN,111.15,54.7,64.7,8,2,2,2,86.0
